Year	Top Speed (mph)	0-60mph (sec)	Handling	Peak Power	Peak Torque	Traction Control	ABS	Ground Clearance	Drive Style	Tires	RQ Cost
2016	191	2.90	90	573	476	Yes	Yes	Low	4WD	Performance	30
1995	168	5.00	85	290	224	Yes	Yes	Low	RWD	Performance	21
1994	133	7.10	77	158	133	No	No	Low	FWD	Performance	13
1990	140	8.20	75	212	221	No	Yes	Medium	FWD	Standard	13
2017	191	3.70	88	505	443	Yes	Yes	Low	RWD	Performance	27
2007	182	4.00	86	444	347	Yes	Yes	Low	RWD	Performance	25
2017	160	4.30	85	237	258	Yes	Yes	Low	RWD	Performance 	24
2017	155	5.40	82	276	295	Yes	Yes	Low	RWD	Performance 	20
1987	137	7.50	77	187	181	No	No	Medium	RWD	Standard	17
2002	146	6.00	80	247	221	Yes	Yes	Low	FWD	Performance 	16
1995	155	6.40	79	217	199	Yes	Yes	Medium	FWD	Performance 	16
2002	150	6.50	80	221	247	Yes	Yes	Low	FWD	Performance 	15
2005	155	6.70	78	237	256	Yes	Yes	Medium	FWD	Performance 	15
2003	151	6.40	80	237	221	Yes	Yes	Low	FWD	Performance 	15
1989	152	7.00	82	207	181	No	No	Low	RWD	Performance 	15
2005	142	8.00	77	197	295	Yes	Yes	Medium	FWD	Performance 	14
1985	127	8.60	76	153	152	No	No	Medium	RWD	Standard	14
1994	129	7.60	79	150	138	Yes	No	Medium	FWD	Performance 	13
1994	130	7.60	79	150	138	Yes	No	Medium	FWD	Performance 	13
1970	138	7.60	72	197	173	No	No	Low	RWD	Standard	13
1998	132	9.20	76	153	138	Yes	Yes	Medium	FWD	Standard	11
1993	119	8.70	75	118	109	No	No	Medium	FWD	Standard	11
1984	119	8.80	72	126	132	No	No	Medium	RWD	Standard	11
1982	115	8.50	76	93	96	No	No	Medium	FWD	Standard	11
2017	121	9.00	76	118	152	Yes	Yes	Medium	FWD	Standard	11
2006	135	9.00	75	182	170	Yes	Yes	Low	FWD	Standard	10
1992	125	9.80	74	125	122	Yes	Yes	Medium	FWD	Standard	9
1976	118	9.70	75	122	129	No	No	Low	RWD	Standard	9
1976	105	11.80	75	75	76	No	No	Medium	FWD	Standard	7
2017	103	11.70	74	77	89	Yes	Yes	Medium	FWD	Standard	7
2015	205	2.90	88	601	413	Yes	Yes	Low	4WD	Performance	30
2015	155	3.30	85	597	553	Yes	Yes	Medium	4WD	Performance	30
1986	155	3.00	89	469	354	No	No	Medium	4WD	Off-Road	30
2015	155	4.10	85	362	343	Yes	Yes	Medium	4WD	Performance	29
2013	174	3.70	86	552	516	Yes	Yes	Low	4WD	Performance	29
2012	174	4.10	84	335	332	Yes	Yes	Medium	4WD	Performance	29
2013	194	3.60	87	518	391	Yes	Yes	Low	4WD	Performance	28
2015	155	3.70	85	552	516	Yes	Yes	Low	4WD	Performance	28
2015	155	4.80	81	321	479	Yes	Yes	High	4WD	All-Surface	28
2006	155	4.70	84	414	317	Yes	Yes	Medium	4WD	Performance	26
2016	155	4.70	85	444	317	Yes	Yes	Medium	4WD	Performance	26
2015	155	4.60	82	335	331	Yes	Yes	High	4WD	Performance	26
2015	155	4.40	85	306	280	Yes	Yes	Medium	4WD	Performance	26
2000	155	4.50	83	376	325	Yes	Yes	Medium	4WD	Performance	25
2012	155	4.80	83	328	325	Yes	Yes	Medium	4WD	Performance	25
2008	155	4.90	84	349	325	Yes	Yes	Medium	4WD	Performance	25
2004	174	4.40	82	469	413	Yes	Yes	Low	4WD	Performance	24
2006	155	5.20	81	444	398	Yes	Yes	Medium	4WD	Performance	24
1994	163	5.10	80	315	302	No	Yes	Medium	4WD	Performance	23
2006	155	5.40	82	261	258	Yes	Yes	Medium	4WD	Performance	23
2004	155	5.30	82	344	302	Yes	Yes	Medium	4WD	Performance	23
2014	155	5.50	81	227	273	Yes	Yes	Medium	4WD	Performance	22
1998	155	5.30	80	261	295	Yes	Yes	Medium	4WD	Performance	22
2003	155	5.50	79	335	310	Yes	Yes	Medium	4WD	Performance	22
1993	154	5.50	77	230	257	No	Yes	Medium	4WD	Performance	20
1990	143	6.00	77	220	228	No	Yes	Medium	4WD	Performance	18
1997	150	6.40	75	227	258	No	Yes	Medium	4WD	Performance	17
1980	138	6.60	74	200	210	No	No	Medium	4WD	Performance	15
1959	114	11.40	65	124	162	No	No	Low	RWD	Standard	5
1963	87	16.90	69	60	69	No	No	Medium	FWD	Standard	4
1979	83	16.50	67	49	60	No	No	Medium	FWD	Standard	4
1982	101	12.80	70	92	114	No	No	Medium	FWD	Standard	4
1969	88	16.20	66	74	84	No	No	Medium	FWD	Standard	4
1958	80	20.90	63	45	52	No	No	Low	FWD	Standard	3
2018	155	3.00	86	592	553	Yes	Yes	Medium	4WD	Performance	30
